,название_олимпиады,профиль_олимпиады,предмет,уровень_олимпиады,направления_подготовки,chunk_text
0,"«Финатлон для старшеклассников» Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг",финансвая грамотность,обществознание,3.0,"38.03.01, 38.03.02, 38.03.03, 38.03.04, 38.03.05, 42.03.01, 45.03.02","«Финатлон для старшеклассников» Всероссийская олимпиада по финансовой грамотности, устойчивому развитию и защите прав потребителей финансовых услуг финансвая грамотность обществознание 3.0 38.03.01, 38.03.02, 38.03.03, 38.03.04, 38.03.05, 42.03.01, 45.03.02"
1,«Формула Единства»/«Третье тысячелетие»,иностранный язык,иностранный язык,3.0,"38.03.01, 38.03.02, 38.03.03, 38.03.04, 42.03.01, 45.03.02","«Формула Единства»/«Третье тысячелетие» иностранный язык иностранный язык 3.0 38.03.01, 38.03.02, 38.03.03, 38.03.04, 42.03.01, 45.03.02"
2,«Формула Единства»/«Третье тысячелетие»,математика,математика,2.0,"все, за исключением 42.03.01, 45.03.02","«Формула Единства»/«Третье тысячелетие» математика математика 2.0 все, за исключением 42.03.01, 45.03.02"
3,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,автоматизация бизнес-процессов,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» автоматизация бизнес-процессов математика, физика, информатика 2.0 все, за исключением 45.03.02"
4,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,автономные транспортные системы,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» автономные транспортные системы математика, физика, информатика 2.0 все, за исключением 45.03.02"
5,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,анализ космических снимков и геопространственных данных,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» анализ космических снимков и геопространственных данных математика, физика, информатика 3.0 все, за исключением 45.03.02"
6,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,аэрокосмические системы,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» аэрокосмические системы математика, физика, информатика 3.0 все, за исключением 45.03.02"
7,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,беспилотные авиационные системы,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» беспилотные авиационные системы математика, физика, информатика 2.0 все, за исключением 45.03.02"
8,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,большие данные и машинное обучение,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» большие данные и машинное обучение математика, физика, информатика 3.0 все, за исключением 45.03.02"
9,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,"виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности","математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности математика, физика, информатика 3.0 все, за исключением 45.03.02"
10,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,водные робототехнические системы,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» водные робототехнические системы математика, физика, информатика 2.0 все, за исключением 45.03.02"
11,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,геномное редактирование,"математика, физика, информатика, география",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» геномное редактирование математика, физика, информатика, география 3.0 все, за исключением 45.03.02"
12,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,инженерные биологические системы,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» инженерные биологические системы математика, физика, информатика 2.0 все, за исключением 45.03.02"
13,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,интеллектуальные робототехнические системы,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» интеллектуальные робототехнические системы математика, физика, информатика 3.0 все, за исключением 45.03.02"
14,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,интеллектуальные энергетические системы,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» интеллектуальные энергетические системы математика, физика, информатика 3.0 все, за исключением 45.03.02"
15,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,информационная безопасность,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» информационная безопасность математика, физика, информатика 3.0 все, за исключением 45.03.02"
16,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,искусственный интеллект,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» искусственный интеллект математика, физика, информатика 3.0 все, за исключением 45.03.02"
17,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,летающая робототехника,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» летающая робототехника математика, физика, информатика 3.0 все, за исключением 45.03.02"
18,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,наносистемы и наноинженерия,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» наносистемы и наноинженерия математика, физика, информатика 2.0 все, за исключением 45.03.02"
19,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,нейротехнологии и когнитивные науки,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» нейротехнологии и когнитивные науки математика, физика, информатика 2.0 все, за исключением 45.03.02"
20,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,спутниковые системы,"математика, физика, информатика",3.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» спутниковые системы математика, физика, информатика 3.0 все, за исключением 45.03.02"
21,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,технологии беспроводной связи,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» технологии беспроводной связи математика, физика, информатика 2.0 все, за исключением 45.03.02"
22,Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»,ядерные технологии,"математика, физика, информатика",2.0,"все, за исключением 45.03.02","Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада» ядерные технологии математика, физика, информатика 2.0 все, за исключением 45.03.02"
